"T","X","Y","datasets","days"
"2019--P1Y", +0172, +0103,    2,    2
"2019--P1Y", +0172, +0104,    2,    2
"2019--P1Y", +0172, +0105,    2,    2
"2019--P1Y", +0172, +0106,    2,    2
"2019--P1Y", +0172, +0107,    2,    2
"2019--P1Y", +0172, +0108,    2,    2
"2019--P1Y", +0172, +0109,    2,    2
"2019--P1Y", +0172, +0110,    2,    2
"2019--P1Y", +0172, +0111,    2,    2
"2019--P1Y", +0172, +0112,    2,    2
"2019--P1Y", +0172, +0113,    2,    2
"2019--P1Y", +0172, +0114,    2,    2
"2019--P1Y", +0172, +0115,    2,    2
"2019--P1Y", +0172, +0116,    2,    2
"2019--P1Y", +0172, +0117,    2,    2
"2019--P1Y", +0172, +0118,    2,    2
"2019--P1Y", +0172, +0119,    2,    2
"2019--P1Y", +0172, +0120,    2,    2
"2019--P1Y", +0172, +0121,    2,    2
"2019--P1Y", +0173, +0081,    2,    2
"2019--P1Y", +0173, +0082,    2,    2
"2019--P1Y", +0173, +0083,    2,    2
"2019--P1Y", +0173, +0084,    2,    2
"2019--P1Y", +0173, +0085,    2,    2
"2019--P1Y", +0173, +0086,    2,    2
"2019--P1Y", +0173, +0087,    2,    2
"2019--P1Y", +0173, +0088,    2,    2
"2019--P1Y", +0173, +0089,    2,    2
"2019--P1Y", +0173, +0090,    2,    2
"2019--P1Y", +0173, +0091,    2,    2
"2019--P1Y", +0173, +0092,    2,    2
"2019--P1Y", +0173, +0093,    2,    2
"2019--P1Y", +0173, +0094,    2,    2
"2019--P1Y", +0173, +0095,    2,    2
"2019--P1Y", +0173, +0096,    2,    2
"2019--P1Y", +0173, +0097,    2,    2
"2019--P1Y", +0173, +0098,    2,    2
"2019--P1Y", +0173, +0099,    2,    2
"2019--P1Y", +0173, +0100,    2,    2
"2019--P1Y", +0173, +0101,    2,    2
"2019--P1Y", +0173, +0102,    2,    2
"2019--P1Y", +0173, +0103,    2,    2
"2019--P1Y", +0173, +0104,    2,    2
"2019--P1Y", +0173, +0105,    2,    2
"2019--P1Y", +0173, +0106,    2,    2
"2019--P1Y", +0173, +0107,    2,    2
"2019--P1Y", +0173, +0108,    2,    2
"2019--P1Y", +0173, +0109,    2,    2
"2019--P1Y", +0173, +0110,    2,    2
"2019--P1Y", +0173, +0111,    2,    2
"2019--P1Y", +0173, +0112,    2,    2
"2019--P1Y", +0173, +0113,    2,    2
"2019--P1Y", +0173, +0114,    2,    2
"2019--P1Y", +0173, +0115,    2,    2
"2019--P1Y", +0173, +0116,    2,    2
"2019--P1Y", +0173, +0117,    2,    2
"2019--P1Y", +0173, +0118,    2,    2
